epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.0030761680100113153,0.0007621555705554783,0.001,0.0004952828167006373,0.0007623857236467302
1,0.015597237274050713,0.0007626631413586438,0.001,0.0005658944719471037,0.0007623322308063507
2,0.000670079083647579,0.0007607070147059858,0.001,0.0005753596778959036,0.0007603634730912745
3,0.0014175873948261142,0.0007590777240693569,0.001,0.009123039431869984,0.0007607591105625033
4,0.0008902213303372264,0.0007549443398602307,0.00020000001,0.0005056460504420102,0.0007508809212595224
5,0.0011776327155530453,0.0007397769368253648,0.00020000001,0.005749217700213194,0.0007138965302146971
6,0.0594448484480381,0.0006748746964149177,0.00020000001,0.02310589887201786,0.0006456217961385846
7,0.08640927076339722,0.0006258926005102694,0.00020000001,0.013979975134134293,0.0006080793682485819
8,0.0603056326508522,0.0005918440874665976,0.00020000001,0.013760661706328392,0.0005774151650257409
9,0.04426202550530434,0.0005686335498467088,0.00020000001,0.008616073988378048,0.0005693500279448926
10,0.026778243482112885,0.0005390160949900746,4.0000003e-05,0.013103374280035496,0.0005415051127783954
11,0.037579335272312164,0.0005318259354680777,4.0000003e-05,0.01233441848307848,0.0005384146934375167
12,0.04353448003530502,0.0005265512154437602,4.0000003e-05,0.014784797094762325,0.0005349695566110313
13,0.029009802266955376,0.0005208085640333593,4.0000003e-05,0.01490397471934557,0.000531306373886764
14,0.013749205507338047,0.0005115424282848835,1e-05,0.0128362737596035,0.0005301597411744297
15,0.016175279393792152,0.000509431294631213,1e-05,0.012853916734457016,0.0005277495947666466
16,0.019952382892370224,0.000507673597894609,1e-05,0.030605021864175797,0.0005294661386869848
17,0.033964190632104874,0.0005058302194811404,1e-05,0.012890179641544819,0.0005282907513901591
18,0.03771873563528061,0.000504107098095119,1e-05,0.013813248835504055,0.0005275400471873581
19,0.03352038934826851,0.0005024254787713289,1e-05,0.011530494317412376,0.0005274620489217341
20,0.026488253846764565,0.0005007334402762353,1e-05,0.07441190630197525,0.0005256549338810146
21,0.04064593091607094,0.0004991767345927656,1e-05,0.013014634139835835,0.0005261620972305536
22,0.03962723910808563,0.0004976005875505507,1e-05,0.15231244266033173,0.0005267445812933147
23,0.03384443745017052,0.0004957651835866272,1e-05,0.013029090128839016,0.0005287940730340779
24,0.04254654422402382,0.0004942645900882781,1e-05,0.014428035356104374,0.0005261613405309618
25,0.06456834077835083,0.0004926629480905831,1e-05,0.01175250206142664,0.0005239033489488065
26,0.05227329581975937,0.0004911531577818096,1e-05,0.014140423387289047,0.00052411830984056
27,0.053423210978507996,0.0004895260790362954,1e-05,0.01386117935180664,0.000524344970472157
28,0.03657728061079979,0.00048804751713760197,1e-05,0.07888760417699814,0.0005240878672339022
29,0.06550512462854385,0.00048659153981134295,1e-05,0.07624340802431107,0.0005230185925029218
30,0.06385046988725662,0.0004850761324632913,1e-05,0.014812191016972065,0.0005240904865786433
31,0.056570976972579956,0.000483689276734367,1e-05,0.44929271936416626,0.0005237061996012926
32,0.08227282762527466,0.0004823160415980965,1e-05,0.4106598496437073,0.0005240229656919837
33,0.07212598621845245,0.00048078331747092307,1e-05,0.0147367799654603,0.0005239691818132997
34,0.07966983318328857,0.0004795886925421655,1e-05,0.29421716928482056,0.0005238177836872637
35,0.08404438942670822,0.0004779961600434035,1e-05,0.013921690173447132,0.0005227322108112276
36,0.09807156771421432,0.0004767043574247509,1e-05,0.014193820767104626,0.0005240181344561279
37,0.08576464653015137,0.00047519878717139363,1e-05,0.14296627044677734,0.0005292161949910223
38,0.10897992551326752,0.0004739209543913603,1e-05,0.15346655249595642,0.0005227919318713248
39,0.121148020029068,0.00047272516530938447,1e-05,0.2453978955745697,0.0005231988034211099
40,0.12057162821292877,0.0004712648515123874,1e-05,0.015173244290053844,0.0005287362728267908
41,0.11001111567020416,0.0004699014825746417,1e-05,0.014377006329596043,0.0005202259053476155
42,0.15303806960582733,0.0004687733016908169,1e-05,0.01459207572042942,0.0005189203657209873
43,0.14818423986434937,0.0004676817625295371,1e-05,0.20380176603794098,0.0005203554756008089
44,0.1710207164287567,0.0004663906875066459,1e-05,0.01596694067120552,0.0005220129387453198
45,0.15584316849708557,0.00046528992243111134,1e-05,0.014794095419347286,0.0005235442658886313
46,0.1996127814054489,0.0004637918609660119,1e-05,0.015167148783802986,0.0005212729447521269
47,0.1887069195508957,0.0004628035821951926,1e-05,0.1863611787557602,0.0005189205403439701
48,0.19842353463172913,0.00046157254837453365,1e-05,0.014389697462320328,0.0005213415715843439
49,0.20820418000221252,0.00046054739505052567,1e-05,0.015066862106323242,0.0005234905984252691
50,0.2364516407251358,0.00045956840040162206,1e-05,0.11802845448255539,0.0005255544674582779
51,0.2368147373199463,0.0004583174013532698,1e-05,0.12660859525203705,0.0005208702059462667
52,0.26438382267951965,0.00045728060649707913,1e-05,0.14924682676792145,0.0005196243291720748
