epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.0026694831904023886,0.20154167711734772,0.001,0.00026080646784976125,0.005059083923697472
1,0.000542713503818959,0.00277664209716022,0.001,0.0002015848585870117,0.012942046858370304
2,0.0006035109399817884,0.0017047569854184985,0.001,0.0009536196012049913,0.008163074031472206
3,0.001712801749818027,0.0011154552921652794,0.001,0.0005998924025334418,0.0021234615705907345
4,0.004323576111346483,0.0008517561946064234,0.001,0.0022716443054378033,0.0008906412986107171
5,0.009060473181307316,0.0007205122965388,0.001,0.005393036175519228,0.0006840031710453331
6,0.017252858728170395,0.0006649111746810377,0.001,0.009027020074427128,0.00064916379051283
7,0.026164283975958824,0.0005874615744687617,0.001,0.12642060220241547,0.0005608252249658108
8,0.039246197789907455,0.0005414035986177623,0.001,0.022978845983743668,0.0005323256482370198
9,0.04751519858837128,0.0005196300335228443,0.001,0.03383782505989075,0.0005201016901992261
10,0.05398370698094368,0.0005034786881878972,0.001,0.0409310907125473,0.0005077723762951791
11,0.056399259716272354,0.0004731222870759666,0.000100000005,0.06984608620405197,0.0004780010785907507
12,0.05834615230560303,0.0004663463623728603,0.000100000005,0.08238637447357178,0.0004747424100060016
13,0.058939121663570404,0.0004621457774192095,0.000100000005,0.0833677127957344,0.0004721887526102364
14,0.05683567747473717,0.00045581976883113384,1.0000001e-05,0.09217087924480438,0.00047123475815169513
15,0.057250961661338806,0.00045474054059013724,1.0000001e-05,0.08662480115890503,0.0004711773945018649
16,0.05759264901280403,0.00045417071669362485,1.0000001e-05,0.08848123252391815,0.0004707689513452351
17,0.058543089777231216,0.0004532789171207696,1.0000001e-06,0.08911842852830887,0.00047156959772109985
18,0.05811373516917229,0.0004532288294285536,1.0000001e-06,0.08661904186010361,0.00047132547479122877
19,0.05786473676562309,0.0004534018225967884,1.0000001e-06,0.08722057938575745,0.000471292034490034
20,0.0577385388314724,0.0004530480073299259,1e-06,0.0872160792350769,0.00047105553676374257
21,0.05777284875512123,0.0004529197758529335,1e-06,0.08354455232620239,0.00047020171768963337
22,0.05762041360139847,0.0004529483849182725,1e-06,0.08226819336414337,0.00047032354632392526
23,0.05796350911259651,0.00045287469401955605,1e-06,0.08684873580932617,0.00047067226842045784
24,0.05749145895242691,0.00045294169103726745,1e-06,0.08933558315038681,0.0004709615604951978
25,0.05767114460468292,0.0004528337740339339,1e-06,0.08734192699193954,0.0004711996589321643
26,0.05788892135024071,0.0004526707052718848,1e-06,0.08504170179367065,0.00047046062536537647
27,0.05764174088835716,0.0004526543489191681,1e-06,0.08260959386825562,0.0004705614410340786
28,0.05755686014890671,0.00045257664169184864,1e-06,0.08713482320308685,0.0004712361260317266
29,0.05764199048280716,0.0004526869743131101,1e-06,0.08747619390487671,0.00047085326514206827
30,0.05764231085777283,0.00045285437954589725,1e-06,0.08454535156488419,0.00047113397158682346
31,0.05769258365035057,0.0004524539108388126,1e-06,0.08451022207736969,0.00047088979044929147
